NB_DECES_PIETON;NB_BLESSES_PIETON;NB_DECES_VELO;NB_BLESSES_VELO;RUE_ACCDN;CD_GENRE_ACCDN
0;1;0;0;ONTARIO;32
0;1;0;0;VIGER;32
0;0;0;1;ONTARIO;33
0;0;0;1;RENE LEVESQUE;33
0;0;0;1;CH MACDONALD;33
0;0;0;1;SHERBROOKE;33
0;1;0;0;BERRI;32
0;2;0;0;ST JACQUES ET ST PIERRE;32
0;1;0;0;MAISONNEUVE;32
0;1;0;0;MAISONNEUVE;32
0;1;0;0;ST PIERRE;32
0;0;0;1;MILL;33
0;0;0;1;ST HUBERT;33
0;0;0;1;DE MAISONNEUVE;33
0;0;0;1;ST URBAIN;33
0;0;0;1;MILL;33
0;1;0;0;ST LAURENT ET COMMUNE;32
0;1;0;0;ONTARIO;32
0;1;0;0;HOTEL DE VILLE;32
0;1;0;0;;32
0;1;0;0;ST LAURENT;32
0;1;0;0;BERRI;32
0;1;0;0;SHERBROOKE;32
0;1;0;0;;32
0;1;0;0;;32
0;1;0;0;BERRI;32
0;1;0;0;;32
0;0;0;1;PRESIDENT KENNEDY;33
0;0;0;1;MCGILL;33
0;0;0;1;BERRI;33
0;1;0;0;;32
0;1;0;0;RENE LEVESQUE;32
0;1;0;0;SHERBROOKE;32
0;1;0;0;BERRI;32
0;1;0;0;BULLION;32
0;1;0;0;ST PAUL O;32
0;1;0;0;RENE LEVESQUE O;32
0;1;0;0;ST DENIS;32
0;1;0;0;ST PAUL O;32
0;1;0;0;SHERBROOKE;32
0;2;0;0;BLEURY;32
0;1;0;0;ST DENIS;32
0;0;0;1;;33
1;0;0;0;ST DENIS;32
1;0;0;0;STE CATHERINE E;32
0;1;0;0;ST DENIS;32
0;1;0;0;PRESIDENT KENNEDY;32
0;1;0;0;SANGUINET;32
0;1;0;0;DE LA COMMUNE;32
0;1;0;0;;32
0;1;0;0;ST SULPICE FACE;32
0;1;0;0;AMHERST;32
0;1;0;0;ONTARIO;32
0;1;0;0;;32
0;1;0;0;MAISONNEUVE;32
0;1;0;0;MAISONNEUVE;32
0;1;0;0;;32
0;1;0;0;DORION;32
0;1;0;0;SHERBROOKE;32
0;1;0;0;SHERBROOKE;32
0;1;0;0;;32
0;1;0;0;BERCY;32
0;1;0;0;STE CATHERINE E;32
0;1;0;0;;32
0;0;0;1;;33
0;1;0;0;PAPINEAU ET MAISONNEUVE;32
0;1;0;0;PLESSIS;32
0;0;0;1;ONTARIO E;33
0;0;0;1;;33
0;1;0;0;PAPINEAU;32
0;0;0;1;ONTARIO;33
